ID,section,midterm,quiz_1,quiz_2,quiz_3
1,,Manual Posting,Manual Posting,Manual Posting,Manual Posting
2,,0,0,0,0
3,國立嘉義大學,,,,
4,國立臺灣大學修課學生 (ECON2022-03),36,21,24,14
5,國立臺灣大學修課學生 (ECON2022-03),32,14,4,10
6,國立臺灣大學修課學生 (ECON2022-03),48,18,9,18
7,臺北醫學大學,0,,,
8,國立臺灣大學修課學生 (ECON2022-03),65,15,9,18
9,國立臺灣大學修課學生 (ECON2022-03),68,13,18,8
10,國立臺灣大學修課學生 (ECON2022-03),22,15,11,2
11,國立臺灣大學修課學生 (ECON2022-03),74,18,10,16
12,國立臺北大學,,,,
13,衛星課程協同教師、助教,,,,
14,高雄醫學大學,,,,
15,衛星課程協同教師、助教,,,,
16,國立勤益科技大學,,,,
17,國立臺灣大學修課學生 (ECON2022-03),77,22,30,20
18,元智大學,,,,
19,國立臺灣大學修課學生 (ECON2022-03),42,17,10,10
20,國立臺灣大學修課學生 (ECON2022-03),93,16,27,18
21,衛星課程協同教師、助教,,,,
22,國立臺灣大學修課學生 (ECON2022-03),71,23,27,22
23,衛星課程協同教師、助教,0,,,
24,國立雲林科技大學,,,,
25,國立臺灣大學修課學生 (ECON2022-03),56,15,4,8
26,國立臺灣大學修課學生 (ECON2022-03),48,4,,
27,國立臺灣大學修課學生 (ECON2022-03),52,23,,10
28,國立宜蘭大學,,0,,
29,國立中山大學,,,,
30,國立臺灣大學修課學生 (ECON2022-03),51,12,,
31,國立中興大學,,,,
32,衛星課程協同教師、助教,,,,
33,衛星課程協同教師、助教,,,,
34,元智大學,,,,
35,國立臺灣大學修課學生 (ECON2022-03),78,22,27,22
36,TAICA 計畫辦公室,,,,
37,國立臺灣大學修課學生 (ECON2022-03),49,14,7,6
38,國立臺灣大學修課學生 (ECON2022-03),52,,22,10
39,國立臺灣大學修課學生 (ECON2022-03),18,19,15,16
40,國立政治大學,,,,
41,衛星課程協同教師、助教,,,,
42,衛星課程協同教師、助教,,,,
43,衛星課程協同教師、助教,,,,
44,衛星課程協同教師、助教,,,,
45,國立勤益科技大學,,,,
46,衛星課程協同教師、助教,,,,
47,國立臺灣大學修課學生 (ECON2022-03),76,16,18,16
48,國立臺灣大學修課學生 (ECON2022-03),61,18,18,12
49,衛星課程協同教師、助教,,,,
50,國立宜蘭大學,0,0,,
51,元智大學,,,,
52,衛星課程協同教師、助教,0,,,
53,臺北醫學大學,,,,
54,衛星課程協同教師、助教,,,,
55,國立臺灣大學修課學生 (ECON2022-03),94,22,27,28
56,衛星課程協同教師、助教,,0,,
57,衛星課程協同教師、助教,,,,
58,國立臺灣大學修課學生 (ECON2022-03),89,21,30,24
59,元智大學,,,,
60,國立中興大學,,,,
61,衛星課程協同教師、助教,,,,
62,國立臺灣大學修課學生 (ECON2022-03),50,19,,24
63,衛星課程協同教師、助教,,,,
64,衛星課程協同教師、助教,,,,
65,國立高雄科技大學,,,,
66,元智大學,,,,
67,國立臺灣大學修課學生 (ECON2022-03),63,,16,12
68,衛星課程協同教師、助教,,,,
69,國立臺灣大學修課學生 (ECON2022-03),86,8,26,26
70,國立臺灣大學修課學生 (ECON2022-03),98,17,27,22
71,國立臺灣大學修課學生 (ECON2022-03),77,19,24,16
72,國立臺灣大學修課學生 (ECON2022-03),92,18,30,20
73,衛星課程協同教師、助教,,,,
74,衛星課程協同教師、助教,,,,
75,國立臺灣大學修課學生 (ECON2022-03),45,6,0,4
76,元智大學,,0,,
77,國立臺灣大學修課學生 (ECON2022-03),85,18,26,20
78,國立中興大學,,,,
79,國立中興大學,,,,
80,國立臺灣大學修課學生 (ECON2022-03),85,18,30,14
81,國立中興大學,,,,
82,衛星課程協同教師、助教,,,,
83,衛星課程協同教師、助教,,,,
84,國立聯合大學,,,,
85,國立中山大學,,,,
86,國立中興大學,,,,
87,衛星課程協同教師、助教,,0,,
88,衛星課程協同教師、助教,,,,
89,衛星課程協同教師、助教,,,,
90,國立臺灣大學修課學生 (ECON2022-03),97,18,24,22
91,國立臺灣大學修課學生 (ECON2022-03),86,17,23,20
92,國立中山大學,,,,
93,衛星課程協同教師、助教,,0,,
94,國立中山大學,0,,,
95,衛星課程協同教師、助教,,,,
96,靜宜大學,,0,,
97,國立勤益科技大學,,,,
98,衛星課程協同教師、助教,,,,
99,衛星課程協同教師、助教,,,,
100,衛星課程協同教師、助教,,,,
101,元智大學,,,,
102,國立臺灣大學修課學生 (ECON2022-03),96,16,23,18
103,國立臺灣大學修課學生 (ECON2022-03),57,20,27,10
104,衛星課程協同教師、助教,,,,
105,衛星課程協同教師、助教,,,,
106,國立臺灣大學修課學生 (ECON2022-03),71,,20,20
107,國立臺灣大學修課學生 (ECON2022-03),86,21,27,18
108,衛星課程協同教師、助教,,,,
109,元智大學,,,,
110,衛星課程協同教師、助教,,,,
111,國立臺灣師範大學,,,,
112,衛星課程協同教師、助教,,,,
113,國立臺灣大學修課學生 (ECON2022-03),43,9,6,6
114,國立臺灣大學修課學生 (ECON2022-03),85,21,27,20
115,元智大學,,,,
116,國立臺灣大學修課學生 (ECON2022-03),56,21,,18
117,國立臺灣大學修課學生 (ECON2022-03),97,18,24,24
118,輔仁大學,,,,
119,衛星課程協同教師、助教,,,,
120,國立臺灣大學修課學生 (ECON2022-03),87,23,27,24
121,衛星課程協同教師、助教,,,,
122,國立臺灣大學修課學生 (ECON2022-03),76,,29,20
123,衛星課程協同教師、助教,,,,
124,元智大學,,,,
125,國立中山大學,,,,
126,國立政治大學,,,,
127,國立臺灣大學修課學生 (ECON2022-03),83,23,30,22
128,國立成功大學,,0,,
129,國立臺灣大學修課學生 (ECON2022-03),95,19,24,26
130,衛星課程協同教師、助教,,,,
131,國立中山大學,,,,
132,國立臺灣大學修課學生 (ECON2022-03),85,22,24,20
133,國立成功大學,,,,
134,國立臺灣大學修課學生 (ECON2022-03),74,19,15,16
135,國立中山大學,,,,
136,國立臺灣大學修課學生 (ECON2022-03),83,13,24,8
137,國立臺灣大學修課學生 (ECON2022-03),92,23,27,24
138,國立臺灣大學修課學生 (ECON2022-03),100,7,17,18
139,淡江大學,,,,
140,國立雲林科技大學,,,,
141,國立勤益科技大學,,,,
142,國立臺灣大學修課學生 (ECON2022-03),58,18,21,16
143,衛星課程協同教師、助教,,,,
144,衛星課程協同教師、助教,,,,
145,國立臺灣大學修課學生 (ECON2022-03),98,20,21,26
146,銘傳大學,,,,
147,國立中興大學,,0,,
148,國立臺灣大學修課學生 (ECON2022-03),97,20,30,24
149,衛星課程協同教師、助教,,,,
150,衛星課程協同教師、助教,,,,
151,國立勤益科技大學,,0,,
152,國立臺灣大學修課學生 (ECON2022-03),77,20,7,22
153,衛星課程協同教師、助教,,,,
154,國立臺灣大學修課學生 (ECON2022-03),93,19,27,26
155,國立臺灣大學修課學生 (ECON2022-03),79,21,13,22
156,國立臺灣大學修課學生 (ECON2022-03),35,7,29,12
157,國立臺灣大學修課學生 (ECON2022-03),61,7,26,20
158,衛星課程協同教師、助教,,,,
159,國立臺灣大學修課學生 (ECON2022-03),53,16,18,14
160,國立臺灣大學修課學生 (ECON2022-03),100,15,26,24
161,衛星課程協同教師、助教,,,,
162,國立臺灣大學修課學生 (ECON2022-03),93,22,23,30
163,國立臺灣大學修課學生 (ECON2022-03),73,17,24,12
164,國立勤益科技大學,,,,
165,國立中興大學,,0,,
166,衛星課程協同教師、助教,,,,
167,衛星課程協同教師、助教,,,,
168,國立臺灣大學修課學生 (ECON2022-03),93,6,9,16
169,衛星課程協同教師、助教,,,,
170,衛星課程協同教師、助教,,,,
171,國立臺灣大學修課學生 (ECON2022-03),56,15,,18
172,衛星課程協同教師、助教,,0,,
173,衛星課程協同教師、助教,,,,
174,衛星課程協同教師、助教,,,,
175,衛星課程協同教師、助教,,,,
176,衛星課程協同教師、助教,,,,
177,衛星課程協同教師、助教,,,,
178,國立中山大學,,,,
179,中國醫藥大學,,0,,
180,衛星課程協同教師、助教,,,,
181,輔仁大學,,,,
182,國立臺灣大學修課學生 (ECON2022-03),69,13,22,12
183,中原大學,,,,
184,衛星課程協同教師、助教,,,,
185,衛星課程協同教師、助教,,,,
186,國立臺灣大學修課學生 (ECON2022-03),74,18,27,16
187,衛星課程協同教師、助教,,,,
188,國立臺灣大學修課學生 (ECON2022-03),23,15,9,8
189,國立臺灣大學修課學生 (ECON2022-03),98,16,21,14
190,衛星課程協同教師、助教,,,,
191,國立中山大學,,,,
192,衛星課程協同教師、助教,,,,
193,衛星課程協同教師、助教,,,,
194,國立中山大學,,,,
195,國立臺灣大學修課學生 (ECON2022-03),59,21,,12
196,"TAICA 計畫辦公室, 中原大學, 中國醫藥大學, 亞洲大學, 元智大學, 南臺科技大學, 國立中央大學, 國立中山大學, 國立中正大學, 國立中興大學, 國立勤益科技大學, 國立嘉義大學, 國立宜蘭大學, 國立彰化師範大學, 國立成功大學, 國立政治大學, 國立東華大學, 國立清華大學, 國立空中大學, 國立聯合大學, 國立臺中科技大學, 國立臺北大學, 國立臺北科技大學, 國立臺南大學, 國立臺灣大學修課學生 (ECON2022-03), 國立臺灣師範大學, 國立臺灣海洋大學, 國立臺灣科技大學, 國立虎尾科技大學, 國立金門大學, 國立陽明交通大學, 國立雲林科技大學, 國立高雄大學, 國立高雄師範大學, 國立高雄科技大學, 大同大學, 實踐大學, 崑山科技大學, 慈濟大學, 明志科技大學, 朝陽科技大學, 東吳大學, 東海大學, 正修科技大學, 淡江大學, 研究生, 致理科技大學, 臺北醫學大學, 衛星課程協同教師、助教, 輔仁大學, 逢甲大學, 銘傳大學, 長庚大學, 長榮大學, 開南大學, 靜宜大學, 高雄醫學大學, and 龍華科技大學",,,,
